

[T:211026]$050403020155,260330080021265,113.93384,22.52489,-0.06885,-0.18188,0.97913,0.06250,0.18750,0.09375,0,0,0,0.354,0.245,1.331*

[T:211534]$050403020155,260330080021365,113.93384,22.52489,-0.06738,-0.18225,0.97827,0.14063,0.09375,-0.01563,0,0,0,0.354,0.245,1.331*

[T:212043]$050403020155,260330080021465,113.93384,22.52489,-0.06702,-0.18250,0.97949,-0.17188,-0.01563,0.25000,0,0,0,0.354,0.248,1.331*

[T:212552]$050403020155,260330080021565,113.93384,22.52489,-0.06763,-0.18201,0.97900,0.01563,-0.09375,0.10938,0,0,0,0.354,0.248,1.331*

[T:213061]$050403020155,260330080021665,113.93384,22.52489,-0.06775,-0.18201,0.98022,0.07813,0.00000,-0.01563,0,0,0,0.358,0.248,1.331*

[T:213570]$050403020155,260330080021765,113.93384,22.52489,-0.06836,-0.18176,0.97961,-0.01563,-0.04688,0.03125,0,0,0,0.354,0.245,1.331*

[T:214079]$050403020155,260330080022865,113.93384,22.52489,-0.06824,-0.18176,0.97827,-0.04688,-0.03125,0.14063,0,0,0,0.354,0.245,1.331*

[T:214587]$050403020155,260330080022965,113.93384,22.52489,-0.06726,-0.18262,0.97876,0.00000,0.10938,0.14063,0,0,0,0.354,0.248,1.331*

[T:215096]$050403020155,260330080022065,113.93384,22.52489,-0.06787,-0.18115,0.97913,0.04688,-0.04688,0.03125,0,0,0,0.358,0.245,1.331*

[T:215605]$050403020155,260330080022165,113.93384,22.52489,-0.06750,-0.18213,0.97888,-0.07813,0.12500,0.23438,0,0,0,0.358,0.248,1.331*

[T:216113]$050403020155,260330080022265,113.93384,22.52489,-0.06763,-0.18286,0.97839,0.20313,0.01563,0.04688,0,0,0,0.358,0.245,1.331*

[T:216622]$050403020155,260330080022365,113.93384,22.52489,-0.06616,-0.18274,0.97949,-0.12500,0.07813,0.28125,0,0,0,0.354,0.245,1.331*

[T:217131]$050403020155,260330080022465,113.93384,22.52489,-0.06714,-0.18225,0.98035,0.09375,0.01563,-0.03125,0,0,0,0.358,0.248,1.334*

[T:217640]$050403020155,260330080022565,113.93384,22.52489,-0.06812,-0.18164,0.97937,0.00000,0.04688,0.15625,0,0,0,0.354,0.245,1.331*

[T:218149]$050403020155,260330080022665,113.93384,22.52489,-0.06653,-0.18225,0.97876,0.10938,-0.06250,-0.03125,0,0,0,0.358,0.248,1.331*

[T:218658]$050403020155,260330080022765,113.93384,22.52489,-0.06628,-0.18201,0.97815,0.26563,0.15625,0.09375,0,0,0,0.354,0.245,1.331*

[T:219166]$050403020155,260330080023865,113.93384,22.52489,-0.06799,-0.18323,0.97986,0.03125,0.07813,0.01563,0,0,0,0.358,0.248,1.331*

[T:219675]$050403020155,260330080023965,113.93384,22.52489,-0.06775,-0.18201,0.97803,0.10938,0.04688,0.07813,0,0,0,0.358,0.245,1.331*

[T:220184]$050403020155,260330080023065,113.93384,22.52489,-0.06714,-0.18311,0.97974,-0.17188,0.03125,0.03125,0,0,0,0.358,0.248,1.334*

[T:220693]$050403020155,260330080023165,113.93384,22.52489,-0.06592,-0.18298,0.97815,0.09375,-0.18750,-0.21875,0,0,0,0.358,0.245,1.331*

[T:221202]$050403020155,260330080023265,113.93384,22.52489,-0.06836,-0.18127,0.97876,0.15625,0.12500,-0.03125,0,0,0,0.354,0.245,1.331*

[T:221711]$050403020155,260330080023365,113.93384,22.52489,-0.06689,-0.18176,0.97900,0.10938,-0.12500,0.10938,0,0,0,0.358,0.248,1.334*

[T:222220]$050403020155,260330080023465,113.93384,22.52489,-0.06628,-0.18213,0.97876,-0.06250,-0.12500,0.23438,0,0,0,0.351,0.245,1.331*

[T:222729]$050403020155,260330080023565,113.93384,22.52489,-0.06799,-0.18274,0.97949,-0.10938,-0.04688,-0.04688,0,0,0,0.354,0.248,1.331*

[T:223238]$050403020155,260330080023665,113.93384,22.52489,-0.06763,-0.18079,0.97742,-0.01563,0.09375,0.01563,0,0,0,0.358,0.245,1.334*

[T:223746]$050403020155,260330080023765,113.93384,22.52489,-0.06860,-0.18335,0.97974,-0.26563,-0.01563,0.06250,0,0,0,0.354,0.248,1.331*

[T:224255]$050403020155,260330080024865,113.93384,22.52489,-0.06848,-0.18140,0.98145,0.15625,-0.01563,-0.20313,0,0,0,0.354,0.248,1.331*

[T:224763]$050403020155,260330080024965,113.93384,22.52489,-0.06689,-0.18115,0.97900,-0.04688,0.06250,0.21875,0,0,0,0.354,0.245,1.331*

[T:225272]$050403020155,260330080024065,113.93384,22.52489,-0.06738,-0.18250,0.97888,0.40625,-0.07813,-0.03125,0,0,0,0.354,0.245,1.331*

[T:225781]$050403020155,260330080024165,113.93384,22.52489,-0.06860,-0.18140,0.98010,-0.04688,0.09375,-0.06250,0,0,0,0.354,0.248,1.331*

[T:226290]$050403020155,260330080024265,113.93384,22.52489,-0.06750,-0.18274,0.97937,0.07813,0.01563,-3.78125,0,0,0,0.354,0.248,1.331*

